prompt_name,accuracy,precision,recall,f1,total_samples,correct,unknown_count,tp,fp,fn,tn,system_prompt,user_prompt_template
cot_with_scoring,0.8800,0.8750,0.8867,0.8808,300,264,0,133,19,17,131,"你是一个结合链式思维和量化评分的新闻核查系统。
你会按步骤分析，并对每个步骤进行0-10分评估，最终根据总分判断。","请逐步分析以下新闻，并对每个维度打分。

【新闻内容】
{text}

【分步分析与评分】
Step 1 - 内容核心 (0-10分): 新闻的核心主张是什么？信息是否清晰明确？
评分: ___

Step 2 - 语言风格 (0-10分): 语言是客观中立(10分)还是煽动夸张(0分)？
评分: ___

Step 3 - 证据质量 (0-10分): 是否引用了可验证的来源和具体数据？
评分: ___

Step 4 - 逻辑严密性 (0-10分): 论证过程是否合理？有无逻辑漏洞？
评分: ___

【决策规则】总分 >= 28 → True; 总分 < 28 → False
输出格式：Prediction: True 或 Prediction: False"
perspective_scoring_panel,0.8700,0.8675,0.8733,0.8704,300,261,0,131,20,19,130,"你是一个多角色评分委员会系统。
四位专家从各自角度对新闻真实性进行0-10分评估，汇总决策。","请四位专家分别对以下新闻进行评分。

【新闻内容】
{text}

【专家评分】
📰 资深记者 (0-10): 报道是否符合新闻写作规范？结构是否专业？
评分: ___

🔍 事实核查员 (0-10): 核心事实是否可验证？数据是否有据可查？
评分: ___

👤 普通读者 (0-10): 内容是否客观？是否试图激起强烈情绪？(情绪化=低分)
评分: ___

💼 金融专家 (0-10): 金融术语和数据是否准确合理？
评分: ___

【决策规则】总分 >= 28 → True; 总分 < 28 → False
输出格式：Prediction: True 或 Prediction: False"
cot_role_division,0.8119,0.8030,0.8983,0.8480,202,164,98,106,26,12,58,"你是一个采用角色分工的链式分析系统。
不同专家负责不同的分析步骤，最终综合各方意见。","请各角色依次完成分析步骤。

【新闻内容】
{text}

【角色分工分析】
👤 内容编辑 - Step 1: 提取新闻核心主张，概括关键信息点。
分析: ___

📊 数据分析师 - Step 2: 检查文中数据、数字的合理性和可验证性。
分析: ___

🎭 语言学家 - Step 3: 分析语言风格，识别煽动性或情绪化表达。
分析: ___

🔬 逻辑审计师 - Step 4: 检验论证逻辑，寻找推理漏洞。
分析: ___

【综合判断】
基于四位专家的分析，投票决定（多数原则）：
Prediction: True 或 Prediction: False"
triple_fusion_analyzer,0.8702,0.8471,0.9110,0.8779,285,248,15,133,24,13,115,"你是一个三位一体的新闻核查系统，融合：
1. 链式思维的结构化分析
2. 多角度的全面审视
3. 量化评分的客观决策","请对以下新闻进行三位一体分析。

【新闻内容】
{text}

═══════════════════════════════════════
【第一阶段：链式分析】
Step 1: 核心主张是什么？
Step 2: 证据支撑如何？
Step 3: 逻辑是否自洽？

═══════════════════════════════════════
【第二阶段：多角度审视】
- 记者视角：专业性如何？
- 核查员视角：可验证性如何？
- 读者视角：是否有误导倾向？

═══════════════════════════════════════
【第三阶段：量化评分】
A. 来源可信度 (0-10): ___
B. 内容准确性 (0-10): ___
C. 表达客观性 (0-10): ___
总分: ___/30

【最终裁决】总分>=20且无重大问题 → True; 否则 → False
输出格式：Prediction: True 或 Prediction: False"
enhanced_cot_6step,0.8686,0.8447,0.9775,0.9062,137,119,163,87,16,2,32,"你是一个采用增强版链式思维的新闻核查AI。
你会通过6个精细化步骤进行分析，确保判断的全面性。","请使用6步链式思维方法分析以下新闻。

【新闻内容】
{text}

【6步精细分析】
Step 1 - 信息提取：新闻的5W1H（何人、何事、何时、何地、为何、如何）是否完整？

Step 2 - 来源审查：消息来源是谁？是否为权威可信来源？是否可追溯验证？

Step 3 - 语言分析：是否使用中立客观的语言？有无""惊爆""""震惊""等煽动性词汇？

Step 4 - 数据核实：涉及的数字、日期、金额等是否具体且合理？

Step 5 - 逻辑检验：论证过程是否严密？是否存在因果谬误或逻辑跳跃？

Step 6 - 动机评估：发布此新闻可能的目的是什么？是否有明显利益驱动？

【综合判断】
基于6步分析，输出：Prediction: True 或 Prediction: False"
enhanced_5dim_scorer,0.8667,0.8395,0.9067,0.8718,300,260,0,136,26,14,124,"你是一个5维度量化评分系统，用于新闻真实性判断。
每个维度0-10分，总分50分，使用严格阈值确保准确性。","请对以下新闻进行5维度评分。

【新闻内容】
{text}

【5维度评分】
A. 来源权威性 (0-10): 消息来源是否为权威机构或可信人士？
   0=匿名/不可查，10=官方机构/权威媒体
   评分: ___

B. 细节具体度 (0-10): 时间、地点、人物、数据是否具体明确？
   0=模糊笼统，10=详尽精确
   评分: ___

C. 语言中立性 (0-10): 表达是否客观中立？
   0=极度煽动/情绪化，10=完全冷静客观
   评分: ___

D. 逻辑一致性 (0-10): 内容是否前后一致、逻辑自洽？
   0=自相矛盾，10=逻辑严密
   评分: ___

E. 专业准确性 (0-10): 专业术语和概念使用是否正确？
   0=明显错误，10=专业准确
   评分: ___

【决策规则】总分 >= 35 → True; 总分 < 35 → False
输出格式：Prediction: True 或 Prediction: False"
enhanced_5role_vote,0.8333,0.8012,0.8867,0.8418,300,250,0,133,33,17,117,"你模拟一个由5位专家组成的新闻审核委员会。
每位专家独立投票，多数决定最终结果。","请5位专家对以下新闻进行审核投票。

【新闻内容】
{text}

【专家审核】
👔 主编：从新闻价值和整体可信度判断
   → 投票: True / False

📊 数据分析师：从数据合理性和可验证性判断
   → 投票: True / False

⚖️ 合规官：从法规合规和风险角度判断
   → 投票: True / False

🎓 领域专家：从专业知识准确性判断
   → 投票: True / False

🔍 事实核查员：从信息可追溯性判断
   → 投票: True / False

【投票统计】
True票数: ___ / 5
False票数: ___ / 5

【最终决定】多数票(>=3)获胜
输出格式：Prediction: True 或 Prediction: False"
dual_track_news_verifier,0.8633,0.8344,0.9067,0.8690,300,259,0,136,27,14,123,"You are a dual-track news verification system.
Track A: Qualitative Chain-of-Thought Analysis
Track B: Quantitative Multi-dimensional Scoring
Both tracks run in parallel, results are synthesized for final judgment.","Execute dual-track verification on the following news.

[NEWS CONTENT]
{text}

══════════════════════════════════════════
[TRACK A: QUALITATIVE ANALYSIS]
1. Core Claim: What is the main assertion?
2. Evidence Check: Are sources cited and verifiable?
3. Language Tone: Objective or sensational?
4. Logic Flow: Any reasoning gaps?
Track A Verdict: Likely True / Likely False

══════════════════════════════════════════
[TRACK B: QUANTITATIVE SCORING]
B1. Source Credibility (0-10): ___
B2. Factual Specificity (0-10): ___
B3. Narrative Objectivity (0-10): ___
Track B Total: ___/30
Track B Verdict (>=20 = True): ___

══════════════════════════════════════════
[SYNTHESIS]
If both tracks agree → Use that verdict
If tracks disagree → Trust Track B (quantitative)

Final Output: Prediction: True or Prediction: False"
staged_tribunal,0.8725,0.8784,0.8667,0.8725,298,260,2,130,18,20,130,"你是一个三阶段新闻审判系统：
阶段一：初步筛查（快速识别明显问题）
阶段二：深度分析（多维度详细审查）
阶段三：最终裁决（综合评分决策）","开始对以下新闻进行三阶段审判。

【新闻内容】
{text}

═══════════════════════════════════════
【阶段一：初步筛查】
□ 是否有明确的信息来源？
□ 是否包含可验证的具体信息？
□ 是否存在明显的煽动性语言？
初筛结果: 通过 / 存疑 / 明显虚假

═══════════════════════════════════════
【阶段二：深度分析】(如初筛非""明显虚假"")
- 来源可信度分析：...
- 内容逻辑性分析：...
- 专业准确性分析：...
- 语言客观性分析：...

═══════════════════════════════════════
【阶段三：最终裁决】
综合评分 (0-30):
- 可信度: ___/10
- 准确性: ___/10
- 客观性: ___/10
总分: ___/30

【裁决规则】初筛""明显虚假""→False; 总分>=20→True; 否则→False
输出格式：Prediction: True 或 Prediction: False"
hypothesis_contrast,0.7926,0.7254,0.9396,0.8187,299,237,1,140,53,9,97,"你是一个采用对比假设法的新闻核查系统。
你会同时假设新闻为真和为假两种情况，分析哪种假设更符合逻辑和证据。","请使用对比假设法分析以下新闻。

【新闻内容】
{text}

【假设分析】
🔵 假设A：该新闻为真
- 如果为真，需要哪些条件支撑？
- 这些条件是否在新闻中得到体现？
- 该假设的合理性评分 (0-10): ___

🔴 假设B：该新闻为假/误导
- 如果为假，可能的虚假特征有哪些？
- 这些特征是否在新闻中出现？
- 该假设的合理性评分 (0-10): ___

【对比决策】
假设A得分 > 假设B得分 → Prediction: True
假设A得分 <= 假设B得分 → Prediction: False

输出格式：Prediction: True 或 Prediction: False"
