prompt_name,index,claim,url,ground_truth,prediction,correct
simple,0,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",https://www.politifact.com/factchecks/2015/apr/30/steve-crisafulli/crisafulli-says-257000-would-be-forced-medicaid-un/,True,False,False
simple,1,The bill that I carried cutting MOs income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt,https://www.politifact.com/factchecks/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/,True,True,True
simple,2,Did Biden Call for an 'End to Shareholder Capitalism'?,https://www.snopes.com/fact-check/biden-shareholder-capitalism/,False,True,False
simple,3,Texas this fiscal year will have more money in reserve than the other 49 states combined.,https://www.politifact.com/factchecks/2015/mar/05/dan-patrick/dan-patrick-errs-saying-texas-will-end-fiscal-year/,False,False,True
detailed_criteria,0,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",https://www.politifact.com/factchecks/2015/apr/30/steve-crisafulli/crisafulli-says-257000-would-be-forced-medicaid-un/,True,False,False
detailed_criteria,1,The bill that I carried cutting MOs income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt,https://www.politifact.com/factchecks/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/,True,True,True
detailed_criteria,2,Did Biden Call for an 'End to Shareholder Capitalism'?,https://www.snopes.com/fact-check/biden-shareholder-capitalism/,False,False,True
detailed_criteria,3,Texas this fiscal year will have more money in reserve than the other 49 states combined.,https://www.politifact.com/factchecks/2015/mar/05/dan-patrick/dan-patrick-errs-saying-texas-will-end-fiscal-year/,False,False,True
cot_stepwise,0,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",https://www.politifact.com/factchecks/2015/apr/30/steve-crisafulli/crisafulli-says-257000-would-be-forced-medicaid-un/,True,Unknown,False
cot_stepwise,1,The bill that I carried cutting MOs income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt,https://www.politifact.com/factchecks/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/,True,True,True
cot_stepwise,2,Did Biden Call for an 'End to Shareholder Capitalism'?,https://www.snopes.com/fact-check/biden-shareholder-capitalism/,False,False,True
cot_stepwise,3,Texas this fiscal year will have more money in reserve than the other 49 states combined.,https://www.politifact.com/factchecks/2015/mar/05/dan-patrick/dan-patrick-errs-saying-texas-will-end-fiscal-year/,False,False,True
financial_expert,0,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",https://www.politifact.com/factchecks/2015/apr/30/steve-crisafulli/crisafulli-says-257000-would-be-forced-medicaid-un/,True,False,False
financial_expert,1,The bill that I carried cutting MOs income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt,https://www.politifact.com/factchecks/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/,True,True,True
financial_expert,2,Did Biden Call for an 'End to Shareholder Capitalism'?,https://www.snopes.com/fact-check/biden-shareholder-capitalism/,False,True,False
financial_expert,3,Texas this fiscal year will have more money in reserve than the other 49 states combined.,https://www.politifact.com/factchecks/2015/mar/05/dan-patrick/dan-patrick-errs-saying-texas-will-end-fiscal-year/,False,False,True
binary_classifier_en,0,"If we choose Obamacare expansion, 600,000 will lose eligibility for their subsidies, of which 257,000 would be forced into Medicaid.",https://www.politifact.com/factchecks/2015/apr/30/steve-crisafulli/crisafulli-says-257000-would-be-forced-medicaid-un/,True,False,False
binary_classifier_en,1,The bill that I carried cutting MOs income tax for 1st time in over 100 years will start its 1st phase in jan 1 2018. #moleg @Eric_Schmitt,https://www.politifact.com/factchecks/2017/sep/26/andrew-koenig/first-cut-missouri-income-tax-over-100-years/,True,True,True
binary_classifier_en,2,Did Biden Call for an 'End to Shareholder Capitalism'?,https://www.snopes.com/fact-check/biden-shareholder-capitalism/,False,False,True
